[2025-04-04 05:24:03] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: N/A
[2025-04-04 05:24:34] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:24:38] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:24:42] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:24:43] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:24:46] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:25:21] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:25:21] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:25:21] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:25:22] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:25:24] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:26:32] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:27:02] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:28:54] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:28:56] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:29:00] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: admin
[2025-04-04 05:29:01] Exceção: Unknown database 'eskort_db' em C:\xampp\htdocs\eskort\Site\config.php:12 | IP: ::1 | User: N/A
